Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   ND16   ND17   ND18   ND19   ND20   Egz    
Alpas               Butkus              1      2      7      8      8      5      2      9      1      6      6      7      4      5      1      4      7      10     2      5      9      
Palemonas           Vasiliauskas        2      7      7      4      5      7      7      5      10     7      7      3      5      9      2      9      5      10     3      3      3      
Napoleonas          Kateiva             3      5      5      9      3      3      2      10     6      8      2      2      8      3      9      9      2      2      3      5      9      
Germantas           Kateiva             4      10     1      8      7      1      4      2      7      7      3      6      1      1      7      10     4      8      8      9      4      
Gytis               Kazlaukas           3      5      3      6      7      9      5      3      1      3      2      2      4      6      3      9      4      2      3      5      8      
Antonas             Vasiliauskas        6      6      7      1      7      3      1      6      1      10     5      1      9      1      3      9      8      9      3      5      8      
Abraomas            Paulauskas          2      4      1      5      4      3      2      9      8      8      9      10     7      7      4      6      10     1      7      7      5      
Richardas           Sakalauskas         6      8      9      1      10     5      9      7      8      10     9      4      7      1      9      9      3      2      1      5      1      
Olegas              Jankauskas          4      3      2      5      9      7      2      8      6      5      3      9      5      8      3      2      3      1      5      2      5      
Laurynas            Kazlaukas           2      5      1      3      5      10     8      3      6      9      5      5      4      3      10     1      8      2      3      9      4      
Grigas              Urbonas             6      1      3      3      9      9      8      2      10     1      5      2      8      1      10     8      9      9      6      2      7      
Nedas               Sakalauskas         6      3      7      9      3      4      9      3      5      2      3      2      10     4      2      1      2      10     9      4      9      
Moze                zukauskas           8      2      4      9      1      7      8      9      4      10     4      2      2      1      9      4      9      10     5      2      6      
Grazvydas           zukauskas           9      3      10     2      6      5      1      1      5      3      5      6      4      9      5      7      5      6      4      6      1      
Anatolis            Kazlaukas           4      4      5      10     8      6      4      10     6      7      5      3      3      4      5      10     1      7      5      9      2      
Fiodoras            Stankevicius        10     9      4      7      2      9      4      10     5      7      2      3      8      9      9      5      8      7      2      8      2      
Renaldas            Pocius              6      10     8      5      7      6      7      4      8      10     4      10     4      7      2      9      1      3      5      2      10     
Geraldas            Kateiva             1      1      3      10     2      3      3      9      8      9      3      10     4      2      10     4      8      10     9      6      3      
Rupertas            Kavaliauskas        3      8      2      4      9      5      6      3      4      5      6      8      5      7      8      3      2      9      6      4      9      
Izoldas             Urbonas             10     6      4      3      5      6      3      10     8      9      8      3      10     9      5      3      3      7      4      2      5      
Mindaugas           zukauskas           1      6      2      9      1      3      3      2      5      1      8      2      4      5      7      5      5      2      10     5      4      
Gitanas             zukauskas           5      9      10     8      5      7      6      10     8      2      2      8      4      8      3      1      5      3      8      8      2      
Adolfas             Jankauskas          5      10     1      2      10     1      5      4      8      8      6      3      7      2      4      9      4      7      1      8      7      
Mecislavas          Baranauskas         9      9      5      2      10     5      8      10     8      5      6      5      4      1      3      10     7      10     6      9      3      
Jegoras             Pocius              1      4      10     9      10     8      7      5      7      3      7      4      4      4      10     8      10     1      10     5      6      
Jaunius             Kazlaukas           9      5      2      4      2      3      3      5      2      10     7      4      9      9      9      3      1      3      6      6      5      
Fredas              zukauskas           10     3      8      4      2      9      4      5      9      2      6      6      4      8      8      9      7      6      9      5      1      
Isaakas             Sakalauskas         2      7      7      10     6      2      5      6      3      10     3      4      10     4      5      10     7      7      2      4      7      
Antonas             Sakalauskas         2      6      4      9      1      5      8      5      6      6      7      5      10     6      8      9      3      9      5      1      5      
Markas              Jankauskas          5      10     5      10     4      1      5      7      9      9      4      4      3      3      8      2      5      6      8      2      1      
Morkus              Urbonas             3      3      3      10     1      1      7      10     5      5      6      8      4      2      10     3      10     8      2      1      4      
Inocentas           Kavaliauskas        10     3      5      6      4      10     9      10     5      8      5      1      6      9      6      4      8      1      10     9      5      
Severinas           Paulauskas          1      10     6      2      5      3      4      10     9      6      2      7      1      3      3      4      8      7      3      4      7      
Giedrius            Petrauskas          5      6      10     2      9      10     10     1      7      7      10     5      9      5      10     1      10     3      8      2      4      
Marcelijus          Petrauskas          2      9      5      5      1      9      2      8      8      6      5      8      4      8      4      8      8      4      4      5      8      
Stasys              Baranauskas         9      3      10     4      7      7      4      9      10     3      4      9      5      1      8      8      2      4      8      8      2      
Dziraldas           Sakalauskas         10     3      5      8      3      10     8      7      3      9      9      5      2      3      4      5      2      1      3      7      10     
Visvaldas           Petrauskas          5      5      6      5      8      4      4      8      8      5      2      9      9      9      4      10     10     6      2      6      5      
Minijus             zukauskas           1      2      4      5      6      9      9      5      4      7      8      1      6      5      6      8      2      10     4      10     7      
Mikolajus           Kavaliauskas        8      5      5      10     4      7      8      3      3      1      4      3      2      10     5      2      3      10     2      1      2      
Vydas               Stankevicius        7      10     10     4      5      9      10     1      7      5      8      8      10     7      4      3      10     7      6      8      4      
Timotiejus          Kateiva             7      5      3      6      5      4      5      4      9      3      4      10     8      7      1      1      7      1      7      4      7      
Renatas             Vasiliauskas        6      8      10     5      7      1      8      9      4      1      7      1      7      1      1      2      5      6      1      8      4      
Gaudrimas           Petrauskas          3      3      8      9      7      5      8      6      2      10     9      7      6      5      3      4      6      1      2      5      10     
Sabinas             Sakalauskas         9      10     3      7      8      5      8      1      5      9      5      1      5      5      10     3      1      1      2      8      3      
Narsutis            Jankauskas          2      1      2      5      7      2      3      5      4      1      3      2      2      9      5      7      9      1      6      7      1      
Nauris              Baranauskas         1      4      1      10     5      6      1      3      2      2      3      7      8      4      9      8      9      7      1      8      5      
Napolis             Kateiva             2      2      9      2      2      6      1      7      10     8      10     6      5      8      8      9      2      5      3      9      4      
Mindaugas           Urbonas             5      4      5      4      3      6      3      8      9      2      9      5      5      4      4      3      8      9      10     6      9      
Sergejus            Petrauskas          8      1      4      9      9      9      5      8      3      1      1      10     7      1      4      10     10     7      10     10     7      
Alfredas            Kateiva             9      3      1      5      10     1      2      1      8      2      10     10     10     8      5      8      2      7      8      1      9      
Anatolis            Kazlaukas           1      5      2      3      7      1      2      4      2      3      1      9      3      10     1      5      6      2      7      3      6      
Grigalius           zukauskas           8      1      4      7      10     1      5      5      4      8      8      10     3      8      3      9      2      10     9      3      9      
zibartas            Kateiva             9      5      4      1      9      8      8      3      5      4      10     5      8      7      9      7      6      9      4      4      3      
Gedvaldas           Stankevicius        4      7      6      9      5      3      7      2      6      1      5      7      8      6      1      6      9      10     9      4      10     
Pranciskus          Vasiliauskas        7      8      2      8      10     5      4      1      2      5      10     1      4      9      6      6      10     9      4      5      8      
Danielius           Stankevicius        4      5      8      3      3      9      9      4      3      6      7      3      1      6      3      4      8      9      5      8      10     
Salvijus            Pocius              10     10     2      6      3      2      6      6      1      5      8      8      7      2      3      6      8      6      5      7      9      
Kirilas             Petrauskas          4      5      4      7      8      8      8      2      4      6      4      10     9      5      4      10     2      10     8      2      1      
Albertas            Vasiliauskas        7      8      1      3      9      4      7      2      3      4      6      5      2      9      2      3      4      1      2      7      7      
Rupertas            zukauskas           6      2      10     5      1      5      5      4      6      10     6      2      1      4      1      1      10     3      5      3      10     
Vygantas            Kateiva             8      5      5      6      9      6      1      10     8      1      3      10     7      9      5      8      9      10     5      5      9      
Grigas              Baranauskas         2      4      10     8      1      5      9      9      4      4      4      6      8      7      6      4      4      2      1      5      7      
Makarijus           Kateiva             2      2      1      10     7      7      1      5      1      4      9      10     4      9      4      3      7      5      3      5      7      
Ramintas            Jankauskas          3      9      2      7      4      3      2      5      4      9      3      8      8      10     1      1      5      3      5      8      6      
Jankelis            Petrauskas          5      9      9      2      9      5      6      10     1      1      10     10     7      9      4      8      9      6      9      2      5      
Virginijus          Kazlaukas           1      1      10     2      3      10     2      1      5      8      9      2      2      10     5      9      8      9      10     10     5      
Ainius              Petrauskas          1      10     8      1      4      4      4      10     9      4      3      3      6      3      4      8      3      6      1      8      9      
Liutauras           Sakalauskas         5      8      1      3      9      1      2      7      7      10     2      4      6      10     8      7      8      4      2      5      3      
Geivydas            Kavaliauskas        10     4      5      3      3      10     2      7      7      3      10     2      8      7      3      4      5      7      10     3      3      
Nerius              Stankevicius        3      5      5      7      8      7      7      3      2      7      6      6      5      8      7      10     10     1      5      6      1      
Jaunutis            Butkus              10     2      8      10     8      5      5      6      9      9      3      6      1      6      3      6      9      5      9      8      10     
Leonidas            zukauskas           3      10     8      10     8      10     10     3      9      9      5      1      4      10     7      4      2      3      10     3      5      
Eligijus            Kazlaukas           4      5      4      3      9      6      10     7      2      8      9      4      1      6      9      8      5      3      4      8      6      
Florijonas          Kazlaukas           7      1      7      8      7      4      4      8      8      9      7      8      10     2      1      9      8      3      3      9      10     
Stepanas            Urbonas             1      9      3      5      4      7      10     3      1      6      2      1      3      5      2      7      5      5      7      5      9      
Nojus               Kavaliauskas        7      5      3      1      10     2      7      8      8      8      8      3      9      6      5      10     5      7      7      4      10     
Emilijus            Sakalauskas         6      4      9      5      1      5      6      3      6      4      2      1      4      4      2      6      9      2      7      6      7      
Alenas              Kazlaukas           3      2      9      8      10     5      1      2      5      4      5      3      2      3      2      6      10     6      1      5      10     
Klementas           Kateiva             1      4      5      2      6      4      10     1      1      7      8      2      6      9      9      8      6      9      3      10     1      
Valdimantas         Jankauskas          8      2      7      3      3      1      3      6      2      2      7      1      3      8      5      10     2      8      1      1      3      
Rimtautas           Stankevicius        4      4      3      5      2      2      5      6      2      2      6      2      4      1      8      2      5      2      7      3      4      
Salvijus            Kavaliauskas        2      7      10     3      1      9      10     7      10     8      2      10     3      9      3      4      8      8      7      9      6      
Benas               zukauskas           3      8      10     9      9      10     3      8      3      9      8      2      8      2      1      9      2      6      4      6      8      
Vilmas              Petrauskas          2      10     9      7      6      10     9      10     5      8      2      9      8      7      1      9      2      9      8      10     9      
Vaigaudas           Butkus              8      7      1      8      10     3      7      8      9      7      9      2      8      1      10     4      2      6      1      2      2      
Vaigaudas           Stankevicius        4      8      5      2      10     4      3      9      1      4      3      7      5      6      8      8      2      9      4      2      2      
Kestutis            Jankauskas          6      7      3      9      8      9      8      6      5      1      6      5      1      1      5      4      3      1      10     3      9      
Mendelis            Butkus              4      9      6      3      8      9      9      8      2      6      6      5      4      3      9      4      5      4      8      3      5      
Polikarpas          Kavaliauskas        6      3      4      1      5      1      10     2      2      7      3      7      2      6      3      6      3      2      5      5      8      
Polikarpas          Jankauskas          1      9      10     10     2      10     2      5      8      5      5      10     3      5      5      5      2      7      3      10     9      
Zenonas             Petrauskas          5      1      10     6      9      8      8      1      6      1      10     5      9      9      9      3      1      7      10     8      2      
Mintaras            Urbonas             1      3      1      1      10     9      4      7      10     4      7      7      6      6      7      9      7      3      3      4      8      
Renaldas            Pocius              6      6      8      9      1      8      3      4      8      8      10     3      10     5      7      5      2      6      1      9      5      
Rimtautas           Kavaliauskas        2      4      6      6      8      4      5      4      4      5      6      2      10     9      10     8      10     9      3      5      4      
Eugeniusas          Urbonas             5      9      7      5      1      6      3      10     3      10     7      5      10     3      7      1      2      4      3      6      8      
Eidimantas          Urbonas             10     9      10     10     9      4      6      4      2      6      5      1      9      4      8      10     2      3      4      3      5      
Skomantas           Sakalauskas         8      8      4      8      3      1      7      8      5      7      2      9      3      8      4      4      7      4      10     3      3      
Emilijus            zukauskas           5      2      8      8      1      3      2      2      3      7      7      3      5      8      1      9      7      4      8      5      5      
Dzeraldas           Paulauskas          1      1      10     6      1      4      1      6      1      4      2      7      7      1      3      6      4      3      3      3      1      
Virgilijus          Paulauskas          10     4      6      10     6      10     7      3      1      6      7      2      6      3      4      3      3      7      4      1      9      
Adalbertas          Vasiliauskas        5      4      1      3      1      10     5      7      10     10     5      7      3      6      6      1      4      4      7      5      6      
Palmyras            Sakalauskas         9      6      9      6      10     8      6      1      2      6      1      9      10     6      9      9      4      7      3      2      5      
Bronislovas         Kateiva             5      9      9      1      3      4      3      7      10     7      3      2      10     7      9      6      1      6      1      2      6      
Juvencijus          Stankevicius        4      10     8      9      4      4      4      6      9      1      7      6      9      1      4      3      6      7      7      9      8      
Narimantas          Sakalauskas         7      1      5      7      4      9      7      9      1      4      10     7      1      3      8      7      10     9      9      2      7      
Deivis              Baranauskas         8      10     8      5      1      10     2      10     4      5      4      1      3      10     9      7      10     4      10     6      5      
Akimas              Vasiliauskas        5      5      3      5      1      4      6      9      5      4      2      3      7      7      4      9      8      1      6      1      4      
Jacekas             zukauskas           5      2      7      4      3      7      5      6      3      8      10     2      6      2      7      9      6      5      3      9      4      
Daumantas           Pocius              8      5      7      3      2      1      9      3      1      5      2      5      7      8      8      9      4      2      10     9      7      
Otilijus            Paulauskas          8      9      9      1      2      2      10     9      9      3      1      9      7      5      10     3      2      8      8      7      7      
Simonas             Kateiva             1      6      7      10     5      5      9      5      9      5      5      7      3      10     7      2      7      2      6      4      8      
Gracijonas          Stankevicius        9      4      4      1      1      2      6      8      8      9      6      8      3      5      8      8      3      2      6      5      1      
Gedvaldas           Kateiva             1      3      10     9      9      2      9      5      7      2      7      6      3      6      3      6      7      4      9      5      3      
zilvinas            Jankauskas          3      7      2      7      7      9      6      4      4      4      4      7      2      3      3      1      7      8      3      8      5      
Ovidijus            Jankauskas          1      6      2      10     5      6      4      10     9      7      2      6      10     3      4      9      10     3      9      7      2      
Fiodoras            zukauskas           7      7      3      3      7      4      5      4      4      2      9      4      4      3      7      6      10     10     10     2      3      
Vainius             Sakalauskas         4      8      2      5      6      7      1      7      5      7      6      7      2      9      7      3      2      4      7      2      2      
zydrius             Urbonas             10     4      10     3      2      4      6      5      1      3      4      9      6      10     3      10     1      3      7      2      4      
Benas               Urbonas             1      10     4      10     7      2      9      6      9      6      2      7      9      10     6      1      4      3      1      10     4      
Berzas              Urbonas             4      10     9      4      9      3      7      8      6      2      7      8      2      2      4      9      10     8      1      1      4      
Virgis              Kavaliauskas        1      2      1      10     8      7      4      7      4      8      10     8      3      1      4      10     3      7      5      9      6      
Eligijus            Paulauskas          9      10     7      5      7      7      4      8      3      10     1      6      8      9      10     2      2      6      7      2      1      
Darius              Vasiliauskas        2      5      1      8      7      3      1      1      5      9      4      2      10     5      7      1      7      1      3      8      9      
Vladislavas         Kavaliauskas        1      7      5      9      2      10     2      5      7      2      2      4      9      3      9      7      2      4      8      3      2      
Arnas               Stankevicius        4      8      5      2      5      9      3      2      8      9      7      6      8      8      2      8      3      7      1      4      10     
Normanas            Petrauskas          10     9      6      2      6      10     10     6      10     8      3      5      10     4      8      4      5      9      8      6      9      
Ramonas             Vasiliauskas        1      10     3      7      2      4      9      7      2      2      6      7      10     5      2      4      3      3      1      10     7      
Egidijus            Sakalauskas         10     4      10     5      5      8      9      2      3      8      9      4      8      10     9      3      4      2      2      2      5      
Gerdas              Pocius              1      6      2      4      7      3      1      4      6      1      10     2      2      7      7      5      6      2      1      4      10     
Klemensas           Urbonas             8      7      2      3      6      9      6      6      9      2      10     1      8      6      8      5      8      7      9      4      1      
Platonas            Baranauskas         4      9      6      4      6      6      8      4      2      9      2      5      5      7      5      2      6      3      3      4      10     
Medas               Stankevicius        6      10     3      5      1      8      2      4      5      1      7      1      2      9      1      9      7      7      7      1      4      
Pranciskus          Kavaliauskas        2      5      8      10     4      10     4      4      2      4      1      1      8      1      7      10     1      3      1      2      7      
Danius              Petrauskas          3      4      1      6      7      2      1      6      1      10     6      2      10     10     3      6      1      10     2      6      4      
Morkus              Urbonas             3      9      7      10     7      1      4      7      2      9      7      3      10     10     9      2      1      1      7      6      1      
Augustas            Stankevicius        2      5      3      2      9      9      4      3      9      10     1      1      5      2      6      5      2      10     1      9      7      
Dalius              Petrauskas          4      1      6      1      5      6      8      5      1      2      4      6      10     3      8      6      5      10     10     3      10     
Nikola              Jankauskas          7      5      3      6      10     5      8      1      5      8      1      2      1      9      10     9      2      3      4      4      4      
Urbonas             Urbonas             3      3      7      9      3      2      8      10     9      6      3      1      1      7      7      7      8      4      4      1      2      
Celestinas          Jankauskas          2      8      7      9      6      3      5      8      1      3      4      2      5      3      3      6      2      2      1      7      2      
zybartas            Butkus              2      4      3      10     6      6      4      3      7      9      7      5      2      8      6      5      5      2      5      6      8      
Akimas              Baranauskas         1      10     9      1      5      8      7      3      3      4      3      2      6      3      8      8      9      10     10     8      2      
Gracijus            Baranauskas         7      7      2      3      8      4      7      8      6      3      5      8      7      8      3      4      1      9      4      2      6      
Klementas           zukauskas           3      1      8      3      3      2      1      6      9      2      8      9      2      7      7      4      6      9      3      8      9      
Marcelius           Vasiliauskas        9      10     3      5      6      7      10     8      6      2      7      7      6      9      3      6      6      8      8      2      4      
Haraldas            Baranauskas         10     3      4      8      1      8      9      1      1      4      4      4      4      8      10     10     3      1      1      5      5      
Leopoldas           Paulauskas          8      8      2      2      3      10     6      2      4      10     7      6      6      10     7      3      6      9      7      1      5      
Laisvydas           Sakalauskas         5      6      3      10     4      2      4      10     4      3      10     7      4      10     3      9      5      7      9      3      7      
Anzelmas            Baranauskas         5      4      2      10     7      2      3      4      1      2      5      6      6      8      9      8      1      1      7      3      7      
Samsonas            Kazlaukas           5      5      6      5      2      8      5      2      3      10     4      9      1      4      10     3      10     5      1      1      8      
Lukrecijus          Pocius              9      4      3      3      3      3      3      10     1      1      2      2      1      7      1      5      1      6      4      8      5      
Juozapas            Sakalauskas         8      8      3      1      4      10     3      8      3      1      5      7      6      1      4      7      3      8      4      5      9      
Denisas             Kateiva             5      4      8      1      3      8      3      8      1      4      7      5      2      10     3      3      5      7      4      10     2      
Ausrius             Kazlaukas           1      2      8      1      3      9      5      9      8      8      7      1      10     5      7      5      4      1      3      4      4      
Artas               Kateiva             6      10     10     5      9      3      5      10     6      5      3      8      1      7      1      10     9      2      10     10     10     
Maksas              Kazlaukas           2      10     7      6      4      9      4      9      10     1      1      7      3      5      4      1      6      2      6      3      3      
Kostas              Vasiliauskas        6      4      4      3      3      5      4      1      10     7      9      10     10     2      8      4      8      5      5      6      8      
Vladimiras          Butkus              8      3      10     8      8      4      5      7      6      7      9      2      7      8      8      7      5      8      6      2      1      
Vigilijus           Butkus              1      9      6      10     5      1      9      3      5      7      6      4      3      6      3      6      10     2      10     5      8      
Benas               Kazlaukas           1      10     8      10     4      9      5      5      7      10     8      10     2      8      4      5      6      8      5      7      7      
Alfas               Petrauskas          9      10     1      2      2      5      9      2      7      4      10     1      3      6      9      9      3      9      2      2      2      
Livijus             Baranauskas         9      9      8      6      5      2      5      5      7      2      5      10     3      5      10     3      6      7      8      7      9      
Geivydas            Butkus              4      2      7      9      4      8      6      5      2      6      4      10     7      8      8      3      5      10     4      4      6      
Vacys               zukauskas           10     1      5      2      5      10     2      7      6      3      4      5      5      9      1      1      6      4      4      3      3      
Timas               Baranauskas         10     6      4      3      1      5      9      5      4      1      8      4      10     7      3      5      9      2      5      3      8      
Skalmantas          Petrauskas          5      6      3      7      7      1      10     5      4      7      4      10     3      7      4      7      9      1      3      8      9      
Vitalijus           Vasiliauskas        8      10     2      2      1      5      1      10     9      4      2      5      5      4      5      1      2      6      9      2      3      
Izoldas             Butkus              9      4      9      5      1      3      9      2      9      10     1      4      1      2      1      5      7      4      9      2      1      
Verneris            Pocius              6      7      1      3      9      3      10     3      3      10     3      9      4      10     9      6      2      9      8      2      2      
Vytis               Kateiva             9      4      3      5      9      1      8      3      2      4      6      3      2      5      7      4      1      6      9      1      8      
Achilas             zukauskas           8      2      2      6      2      7      2      2      10     10     5      9      4      10     2      5      8      7      8      5      8      
Audrys              Vasiliauskas        8      1      2      9      10     9      2      2      10     1      8      7      10     4      4      9      1      1      2      4      7      
Zbignevas           Urbonas             6      1      9      1      2      1      6      10     6      7      5      8      8      7      5      3      7      1      5      1      1      
Kazys               Baranauskas         9      9      5      4      4      10     4      6      6      1      4      4      2      1      5      10     3      9      4      9      5      
Vilmantas           Vasiliauskas        4      5      2      9      1      9      2      1      6      7      5      6      4      4      7      10     1      7      3      4      7      
Pijus               Butkus              7      2      9      8      4      8      10     4      9      2      4      5      8      5      7      10     5      5      10     5      10     
Vainoras            Jankauskas          5      8      7      1      5      8      4      8      10     1      8      1      10     3      5      6      8      2      1      3      3      
Arturas             Baranauskas         8      8      8      9      7      5      3      8      2      5      8      4      4      4      8      9      7      4      1      7      7      
Timotis             Baranauskas         5      4      4      9      5      2      10     7      5      1      6      6      7      8      10     9      10     4      3      7      3      
Laisvydas           Kavaliauskas        3      10     4      5      7      5      9      7      10     3      8      1      6      7      3      3      1      7      10     2      1      
Vakaris             Paulauskas          7      7      6      3      7      7      2      7      6      6      2      9      4      3      2      1      7      8      7      3      3      
Georgijus           Kateiva             10     10     1      7      9      4      8      9      1      8      10     9      10     6      2      9      5      7      4      2      2      
Ernestas            Petrauskas          9      3      3      10     9      2      2      8      5      6      2      2      7      2      2      7      8      6      9      10     10     
Kalnius             Pocius              10     2      6      9      9      3      2      2      3      6      2      10     9      2      5      9      8      6      5      2      5      
Izidorius           Petrauskas          7      3      3      4      9      2      1      10     10     8      9      10     10     7      4      10     2      5      2      8      4      
Markas              Urbonas             4      8      9      9      3      7      1      10     9      6      4      9      1      10     6      6      8      8      8      2      7      
Utenis              Butkus              3      4      3      2      9      1      2      9      9      2      10     2      6      8      2      8      10     7      1      10     5      
Kestautas           Urbonas             6      9      2      2      4      2      6      5      3      3      5      7      5      3      5      5      5      4      6      2      6      
Virgius             Petrauskas          1      4      5      9      7      5      9      6      3      4      4      6      6      2      8      8      2      5      9      9      2      
Eimantas            Butkus              5      7      9      10     10     4      7      4      7      3      3      7      5      8      10     4      10     10     4      7      4      
Narsutis            zukauskas           10     10     8      2      6      1      5      3      4      8      8      9      5      3      3      6      3      5      10     9      1      
Lukrecijus          Baranauskas         2      9      9      3      1      7      2      8      8      7      8      9      1      1      3      5      2      9      9      2      7      
Gedvaldas           Urbonas             2      10     5      6      8      8      2      5      3      9      10     5      6      1      9      10     8      3      2      9      8      
Girenas             Baranauskas         3      8      6      1      5      8      2      3      8      8      10     5      10     10     3      5      8      6      5      7      1      
Zdislavas           zukauskas           8      8      5      9      9      7      7      6      8      3      8      5      10     3      10     1      10     8      7      2      5      
Augustas            Stankevicius        1      9      3      6      5      5      2      8      4      7      7      1      10     1      6      8      1      4      1      10     2      
Abramas             Stankevicius        2      10     7      9      2      8      6      7      9      2      8      10     5      5      5      3      3      1      5      6      7      
Donaldas            Pocius              2      7      7      2      2      9      5      10     4      6      1      2      9      7      5      5      1      1      5      3      6      
zygis               Pocius              1      2      8      1      2      6      3      10     9      8      7      2      7      5      8      8      4      7      7      6      9      
Deimantas           Stankevicius        4      9      10     9      5      3      3      2      9      3      10     9      8      1      3      9      5      1      4      7      9      
Juljanas            Kazlaukas           9      10     10     5      7      1      3      5      5      7      5      10     3      8      2      7      7      5      3      4      9      
Naumas              Butkus              10     8      4      9      9      4      8      6      4      9      10     9      1      9      1      2      4      2      8      6      4      
Vitoldas            Kazlaukas           7      8      10     1      3      9      5      7      6      5      4      2      6      3      1      10     10     8      7      4      7      
Gintas              Stankevicius        2      1      8      5      8      8      2      1      5      9      1      10     6      5      6      8      10     3      1      10     2      
Faustas             Paulauskas          2      7      6      9      9      2      10     5      1      4      3      9      1      2      5      6      2      9      3      4      5      
Mikas               Pocius              6      7      6      10     2      10     7      5      1      4      8      8      4      1      10     6      5      4      3      4      10     
Vytaras             Kateiva             9      1      7      4      6      2      3      6      9      10     10     1      1      10     3      1      3      5      1      6      6      
Jovitas             Jankauskas          5      2      9      5      5      6      8      3      10     8      6      2      8      4      4      7      2      10     7      6      6      
Zinovijus           Pocius              5      3      5      10     3      1      2      8      9      4      5      5      2      2      4      6      4      2      3      4      4      
Traidenis           Vasiliauskas        1      1      10     2      6      5      1      4      7      8      4      5      7      6      4      9      4      9      1      4      9      
Ignas               Jankauskas          8      4      4      3      10     10     6      6      1      3      1      6      9      10     2      5      8      1      3      6      3      
Tiberijus           Pocius              7      8      7      3      4      8      6      10     9      8      1      7      5      8      4      10     1      8      2      5      3      
Merunas             Sakalauskas         5      3      10     5      6      9      1      9      6      2      9      4      8      3      4      10     9      3      5      1      9      
Jokimas             Urbonas             5      9      6      9      1      6      4      3      9      2      7      1      1      1      3      1      2      2      5      5      5      
Kamilis             Petrauskas          1      8      9      2      7      5      1      3      8      9      8      2      10     6      5      7      3      7      2      10     10     
Boguslavas          Vasiliauskas        1      6      2      8      1      3      3      5      6      9      10     9      10     8      7      9      2      2      5      10     4      
Stanislavas         Vasiliauskas        4      4      3      7      7      10     5      4      1      4      5      2      2      6      9      4      6      8      9      8      2      
Vydmantas           Kazlaukas           6      10     1      9      8      7      6      4      7      8      7      1      4      5      2      5      2      2      5      6      6      
