Vardas              Pavarde             Vid.                Med.                
Alpis               Kazlaukas           8.38                6                   
Alpis               Kazlaukas           8.44                5.5                 
Alpis               Kazlaukas           7.9                 5                   
Alpis               Butkus              5.06                5                   
Alvidas             zukauskas           6.96                6                   
Alvidas             Petrauskas          6.72                6                   
Alvidas             Kavaliauskas        5.34                6                   
Alvidas             zukauskas           7.18                6                   
Alvidas             Kazlaukas           6.56                6                   
Alvidas             Pocius              5.68                5.5                 
Alvydas             Stankevicius        5.34                5                   
Alvydas             Kazlaukas           6.64                6                   
Alvydas             Kazlaukas           7.1                 6.5                 
Alvydas             Baranauskas         5.78                5.5                 
Alvydas             Vasiliauskas        7.84                6.5                 
Ambraziejus         zukauskas           6.3                 5                   
Ambraziejus         Pocius              6.56                6                   
Ambraziejus         Sakalauskas         6.94                5                   
Ambraziejus         Urbonas             7.22                6.5                 
Ambraziejus         Petrauskas          7.56                5.5                 
Ambraziejus         Urbonas             6.56                8                   
Anatolijus          zukauskas           6.26                7.5                 
Anatolijus          Kavaliauskas        8.14                5                   
Anatolijus          Pocius              7.72                6                   
Anatolijus          Urbonas             5.48                5                   
Anatolijus          Vasiliauskas        5.84                5.5                 
Anatolijus          Pocius              7.46                7.5                 
Anatolis            Kateiva             5.42                6                   
Anatolis            Butkus              5.64                5                   
Anatolis            Urbonas             6.3                 5                   
Andreas             Urbonas             5.54                6.5                 
Andreas             Urbonas             7.48                7.5                 
Andreas             zukauskas           7                   5                   
Andreas             Baranauskas         7.96                6.5                 
Andreas             Petrauskas          5.22                6                   
Andriejus           Baranauskas         5.8                 6                   
Andrius             Kazlaukas           5.6                 5                   
Andrius             Stankevicius        5.86                6.5                 
Andrius             Pocius              6.08                6                   
Andrius             Petrauskas          7.16                6                   
Andzejus            Pocius              7.56                6.5                 
Andzejus            Urbonas             8.54                6.5                 
Andzejus            Paulauskas          6.94                6                   
Andzejus            Paulauskas          6.42                5.5                 
Anicetas            Pocius              7.06                5                   
Anicetas            zukauskas           7.28                6.5                 
Anicetas            Petrauskas          5                   5                   
Anicetas            Paulauskas          7.56                6                   
Anicetas            Vasiliauskas        7.12                6                   
Anisimas            Petrauskas          7.54                5.5                 
Anisimas            Petrauskas          8.1                 5                   
Anisimas            Butkus              7.72                6                   
Anisimas            Sakalauskas         6.66                6                   
Anisimas            Butkus              6.14                5                   
Anisimas            Butkus              7.68                6.5                 
Antanas             Sakalauskas         7.84                6.5                 
Antanas             Petrauskas          5.7                 7                   
Antanas             Pocius              8.12                6                   
Antanas             Kazlaukas           8.24                5.5                 
Antanas             Kavaliauskas        5.38                6.5                 
Antanas             Kazlaukas           5.88                5.5                 
Antonas             Vasiliauskas        6.82                5.5                 
Antonas             Sakalauskas         5.3                 6                   
Antonas             Kavaliauskas        8.6                 6.5                 
Antonas             Kavaliauskas        7.52                8                   
Antonijus           Butkus              8.36                6                   
Antonijus           Stankevicius        7.44                6                   
Antonijus           Petrauskas          6.62                6                   
Antonijus           Pocius              6.46                5                   
Antonijus           Sakalauskas         7.5                 5                   
Antonijus           Sakalauskas         8.38                6                   
Antonijus           Sakalauskas         5.34                6.5                 
Antonijus           Kazlaukas           7.82                6                   
Antonijus           Paulauskas          7.06                6                   
Antonis             Baranauskas         5.04                5                   
Antonis             Butkus              6.52                6                   
Antonis             Butkus              7.34                6.5                 
Antonis             Jankauskas          6.28                5                   
Antonis             Jankauskas          7.12                6.5                 
Antonis             Jankauskas          8.3                 6                   
Anupras             Vasiliauskas        5.26                7.5                 
Anupras             Baranauskas         6.68                6                   
Anupras             Kazlaukas           7.86                5                   
Anupras             Kateiva             6.76                7                   
Anupras             Paulauskas          7.92                7                   
Anupras             Baranauskas         7.08                5.5                 
Anzelmas            Kateiva             7.86                5                   
Anzelmas            Stankevicius        7.08                5.5                 
Anzelmas            Vasiliauskas        5.78                6                   
Anzelmas            Pocius              5.4                 5                   
Anzelmas            Kazlaukas           5.38                6                   
Anzelmas            Baranauskas         7.58                5.5                 
Anzelmas            Urbonas             5.64                5.5                 
Apolonijus          zukauskas           7.54                5.5                 
Apolonijus          Kazlaukas           5.4                 6                   
Apolonijus          Urbonas             8.18                5.5                 
Apolonijus          Jankauskas          8.74                7.5                 
Apolonijus          Jankauskas          5.4                 6                   
Aras                Kateiva             5.54                5                   
Aras                Urbonas             5.98                7                   
Aras                Jankauskas          6.54                6.5                 
Arijus              Baranauskas         7.02                5                   
Arijus              Butkus              7.58                8.5                 
Arijus              Vasiliauskas        6.16                6                   
Arimantas           Stankevicius        7.26                5                   
Arimantas           Pocius              7.18                5.5                 
Arimantas           Kazlaukas           5.62                5.5                 
Aristarchas         Stankevicius        8.42                6                   
Aristarchas         Butkus              7.34                6.5                 
Aristarchas         Kazlaukas           5.06                5                   
Aristidas           Paulauskas          5.24                6                   
Aristidas           Paulauskas          7.82                6                   
Aristidas           Petrauskas          5.66                5                   
Aristidas           Sakalauskas         6.82                7                   
Aristidas           Sakalauskas         7.5                 5.5                 
Aristidas           Kateiva             5.96                7                   
Arkadijus           Kavaliauskas        5.52                7.5                 
Arkadijus           Kavaliauskas        5.14                5.5                 
Arkadijus           zukauskas           7.78                6                   
Arkadijus           Pocius              6.28                5                   
Arkadijus           Pocius              8.36                6                   
Arkadijus           Stankevicius        5.7                 5.5                 
Arkadijus           Pocius              6                   5.5                 
Arkadijus           Baranauskas         7.38                6                   
Arkadijus           Jankauskas          8.36                6.5                 
Armantas            Kavaliauskas        5.78                5                   
Armantas            Petrauskas          5.34                6                   
Armantas            Jankauskas          7.04                6                   
Armantas            Kateiva             5.38                6                   
Arminas             Urbonas             5.2                 5.5                 
Arminas             Vasiliauskas        7.06                6                   
Arminas             Urbonas             5.18                5.5                 
Arminas             Paulauskas          6.76                5                   
Arnas               Stankevicius        8.18                5.5                 
Arnas               Kavaliauskas        6.94                6                   
Arnas               Butkus              8.2                 6                   
Arnas               Paulauskas          5.36                7                   
Arnoldas            Jankauskas          7.76                6.5                 
Arnoldas            Petrauskas          7.06                6                   
Aronas              Sakalauskas         7.1                 6                   
Aronas              Pocius              7.5                 6                   
Aronas              Baranauskas         5.1                 6                   
Aronas              Kazlaukas           6.56                6.5                 
Aronas              Sakalauskas         7.28                6                   
Aronas              Sakalauskas         8.38                6                   
Arsenas             Kavaliauskas        7.18                6                   
Arsenas             Vasiliauskas        6.5                 6.5                 
Arsenijus           Butkus              5.98                6.5                 
Arsenijus           Sakalauskas         5.34                7                   
Arsenijus           Kavaliauskas        7.84                7                   
Arsenijus           Pocius              6.86                5.5                 
Arsenijus           Jankauskas          8.14                7                   
Artas               Kateiva             8.6                 6.5                 
Artas               Butkus              8.12                5.5                 
Artas               zukauskas           5.36                6.5                 
Artas               zukauskas           5.06                5.5                 
Artas               zukauskas           8.08                5.5                 
Artas               Stankevicius        6.4                 5                   
Artas               Pocius              7.82                6.5                 
Artas               Kazlaukas           8                   5.5                 
Artas               Jankauskas          7.54                5                   
Artiomas            Butkus              6.3                 5.5                 
Artiomas            Stankevicius        6.22                7.5                 
Artiomas            Sakalauskas         6.36                6                   
Artiomas            Kateiva             5.86                6                   
Arturas             Baranauskas         6.58                7                   
Arturas             Kavaliauskas        7.24                6.5                 
Arturas             Stankevicius        5.66                5                   
Arturas             Sakalauskas         7.48                7.5                 
Arturas             Urbonas             5.78                5                   
Arunas              Vasiliauskas        7.14                5                   
Arunas              zukauskas           6.1                 7.5                 
Arvaidas            Kavaliauskas        6                   6                   
Arvaidas            Paulauskas          8.06                7                   
Arvaidas            Paulauskas          6.46                5                   
Arvaidas            Petrauskas          7.94                6                   
Arvaidas            Baranauskas         6.08                6.5                 
Arvaidas            Baranauskas         5.06                5.5                 
Arvydas             Jankauskas          6.88                5.5                 
Arvydas             Butkus              8.06                5                   
Arvydas             Pocius              6.08                5.5                 
Arvydas             zukauskas           8.26                5                   
Arvydas             Kavaliauskas        6.84                5                   
Arvydas             Butkus              8.1                 5                   
Arvydas             Petrauskas          7.58                7                   
Arvydas             Sakalauskas         7.9                 5.5                 
Astijus             Kazlaukas           6.58                6.5                 
Astijus             zukauskas           6.48                6.5                 
Astijus             Paulauskas          5.38                6.5                 
Astijus             Butkus              7.96                6.5                 
Astijus             Baranauskas         6.1                 5                   
Astijus             Petrauskas          5.38                5.5                 
Audrius             Urbonas             5.86                5                   
Audrius             Kazlaukas           8.42                5.5                 
Audrius             Pocius              8.16                5.5                 
Audronius           Sakalauskas         6.28                5.5                 
Audronius           Kazlaukas           7.78                6                   
Audronius           Baranauskas         5.68                6                   
Audronius           Sakalauskas         7.28                6.5                 
Audrys              Butkus              8.08                5                   
Audrys              Vasiliauskas        6.8                 5                   
Audrys              Stankevicius        8.22                5.5                 
Audrys              Kavaliauskas        6.9                 5                   
Audrys              zukauskas           6.24                7.5                 
Audrys              Pocius              5.66                7                   
Audrys              Kazlaukas           8.3                 6                   
Audrys              Pocius              6.04                6.5                 
Augis               Paulauskas          5.92                6                   
Augis               Butkus              7.82                5.5                 
Augustas            Pocius              6.24                5                   
Augustinas          Butkus              7.82                6                   
Augustinas          Stankevicius        7.94                6.5                 
Augustinas          Urbonas             8.2                 6                   
Augustinas          Pocius              5.66                6.5                 
Aurelijus           Vasiliauskas        8.64                7                   
Aurelijus           zukauskas           5.82                5                   
Aurelijus           Baranauskas         6.72                5                   
Aurelijus           Kateiva             5.02                7.5                 
Aurelijus           Pocius              8.36                5.5                 
Aurelijus           Vasiliauskas        8.24                6                   
Aurelijus           Stankevicius        5.66                7                   
Aurimas             Stankevicius        6.76                5                   
Aurimas             Butkus              7.62                5.5                 
Aurimas             Pocius              5.72                7.5                 
Aurimas             Kateiva             7.22                6                   
Aurimas             Kavaliauskas        6.34                5.5                 
Aurimas             Baranauskas         7.44                5                   
Aurimas             Pocius              7.32                7                   
Ausrius             Jankauskas          5.56                5                   
Ausrius             Butkus              6.46                5.5                 
Ausrys              Vasiliauskas        6.38                5                   
Ausrys              Paulauskas          5.98                7                   
Ausrys              Pocius              5.64                5                   
Ausrys              Urbonas             7.76                5.5                 
Ausrys              Urbonas             5.84                5.5                 
Ausrys              Vasiliauskas        7                   6                   
Ausrys              Butkus              7.06                8                   
Baltazaras          Urbonas             8.44                6                   
Baltazaras          Kazlaukas           8.68                8                   
Baltazaras          Petrauskas          5.16                6                   
Baltramiejus        Urbonas             7.68                6                   
Baltramiejus        Baranauskas         6.6                 7                   
Baltramiejus        Butkus              5                   5                   
Baltramiejus        Kateiva             8.6                 6                   
Baltrus             Butkus              8.18                6                   
Baltrus             Sakalauskas         6.56                5                   
Baltrus             Petrauskas          8.1                 7.5                 
Baltrus             Jankauskas          5.5                 7                   
Balys               Butkus              6.76                5                   
Balys               Pocius              5.8                 5                   
Balys               Sakalauskas         5.74                5                   
Balys               Pocius              6.94                7                   
Balys               Baranauskas         7.32                7                   
Banguolis           Baranauskas         7.52                5                   
Banguolis           Jankauskas          5.44                5                   
Banguolis           Kazlaukas           8.2                 8.5                 
Banguolis           Stankevicius        8.22                5                   
Banguolis           Petrauskas          8.52                6.5                 
Banguolis           Baranauskas         8.12                7                   
Banguolis           Paulauskas          5.3                 5                   
Banguolis           Kazlaukas           5.36                7                   
Banguolis           Stankevicius        8.04                7                   
Bartas              Paulauskas          6.04                6                   
Bartas              Kazlaukas           7.62                5.5                 
Bartas              Kazlaukas           6                   6                   
Bartas              zukauskas           8.2                 6                   
Bartas              Kateiva             7.62                5                   
Bartas              Jankauskas          5.48                7                   
Bartas              Petrauskas          6.18                5                   
Bartvydas           Baranauskas         5.72                6.5                 
Bartvydas           Sakalauskas         7.34                5                   
Bartvydas           Jankauskas          6.36                7                   
Bartvydas           Butkus              6.4                 6                   
Bartvydas           Paulauskas          7.98                5                   
Bartvydas           Butkus              5.56                7.5                 
Bazilijus           Paulauskas          7.42                6                   
Bazilijus           Kazlaukas           8.22                5.5                 
Bazilijus           Vasiliauskas        8.4                 7                   
Bazilijus           Petrauskas          5.28                6                   
Bazilijus           Kavaliauskas        6.78                5.5                 
Benas               zukauskas           7.2                 7                   
Benas               Kazlaukas           6.84                7                   
Benas               Butkus              5.42                6.5                 
Benas               Baranauskas         6.7                 7                   
Benas               Urbonas             7.1                 8                   
Benas               Pocius              6.46                6                   
Benediktas          Baranauskas         6.18                5                   
Benediktas          Vasiliauskas        7.62                5.5                 
Benediktas          Kateiva             8.38                5.5                 
Benediktas          Baranauskas         8.46                6                   
Benius              Pocius              6.98                5.5                 
Benius              Kazlaukas           7.1                 5.5                 
Benius              Sakalauskas         5.22                6                   
Benius              Urbonas             6.48                6                   
Benius              Stankevicius        6.34                5                   
Benjaminas          Kavaliauskas        7.74                6                   
Benjaminas          Petrauskas          6.4                 5.5                 
Benjaminas          zukauskas           5.1                 5                   
Benjaminas          Petrauskas          7.76                6                   
Benjaminas          Sakalauskas         6.3                 5.5                 
Benjaminas          Vasiliauskas        7.92                6                   
Benonas             Urbonas             6.76                5                   
Benonas             Baranauskas         5.58                7                   
Benonas             Sakalauskas         7.9                 6.5                 
Bernardas           zukauskas           6.48                5                   
Bernardas           Stankevicius        7.56                5.5                 
Bernardas           Pocius              5.52                5                   
Bernardas           Kateiva             8.5                 6                   
Berzas              Jankauskas          5.74                6                   
Berzas              Urbonas             7.26                6.5                 
Berzas              Jankauskas          5.86                5                   
Berzas              Pocius              6.8                 6.5                 
Berzas              Kateiva             7.44                5                   
Bijunas             Butkus              6.26                5                   
Bijunas             Paulauskas          6.3                 5.5                 
Bijunas             Pocius              5.8                 6                   
Bogdanas            Stankevicius        5.62                8                   
Bogdanas            Pocius              8.18                5                   
Bogdanas            Pocius              7.14                7                   
Bogdanas            Sakalauskas         6.44                5.5                 
Bogdanas            Butkus              8.52                7                   
Boguslavas          Urbonas             6.36                7                   
Boguslavas          Sakalauskas         5.16                5.5                 
Boguslavas          Petrauskas          5.88                8                   
Boguslavas          Kazlaukas           7.48                5                   
Boleslavas          Petrauskas          6.22                5.5                 
Boleslavas          Petrauskas          6.48                6.5                 
Boleslavas          Jankauskas          5.18                6                   
Boleslavas          Jankauskas          5.78                5.5                 
Boleslavas          Vasiliauskas        6                   5.5                 
Boleslavas          zukauskas           8.32                7                   
Boleslavas          zukauskas           5.46                6.5                 
Boleslavas          Sakalauskas         7.96                5                   
Boleslavas          Jankauskas          7.82                7                   
Boleslovas          Urbonas             8.02                5.5                 
Boleslovas          Kazlaukas           6.44                6                   
Boleslovas          Urbonas             6.06                6.5                 
Boleslovas          Stankevicius        5.88                6                   
