Vardas              Pavarde             Vid.                Med.                
Agnius              Vasiliauskas        4.32                6.5                 
Agnius              Stankevicius        3.88                5.5                 
Aidas               Stankevicius        2.52                4                   
Aidas               Jankauskas          6.58                4                   
Aidas               Petrauskas          4.7                 5.5                 
Aidas               Stankevicius        2.98                6                   
Aidas               Vasiliauskas        3.2                 4                   
Aidas               Vasiliauskas        6.28                4.5                 
Aidas               Stankevicius        6.68                4.5                 
Aidas               Urbonas             6.82                4                   
Aidas               Sakalauskas         6.82                4                   
Aidas               Petrauskas          4.66                5.5                 
Ainius              Petrauskas          7.4                 4                   
Ainius              Butkus              6.58                4                   
Ainius              Stankevicius        2.5                 5                   
Ainius              Urbonas             4.5                 5.5                 
Ainius              Baranauskas         3.04                7.5                 
Ainius              Sakalauskas         4                   5.5                 
Ainius              Urbonas             2.48                4                   
Aistis              Baranauskas         2.74                6                   
Aistis              Urbonas             4.06                6                   
Aistis              Sakalauskas         3.44                6                   
Aistis              Kazlaukas           3.24                7.5                 
Aistis              Vasiliauskas        4.42                5                   
Aivaras             Kazlaukas           7.44                4.5                 
Aivaras             Baranauskas         4.42                4.5                 
Aivaras             Stankevicius        6.22                4                   
Aivaras             Paulauskas          6.8                 4                   
Akimas              Vasiliauskas        4.3                 5                   
Akimas              Baranauskas         3.56                6.5                 
Akimas              Jankauskas          3.96                5.5                 
Akimas              Paulauskas          8.04                4                   
Akimas              Baranauskas         2.64                5                   
Akimas              Petrauskas          4.54                4.5                 
Akimas              Baranauskas         2.96                6                   
Akimas              Kavaliauskas        4.02                5.5                 
Akvilinas           Petrauskas          3.36                5.5                 
Akvilinas           Kazlaukas           4                   6.5                 
Akvilinas           Kateiva             4.78                5                   
Akvilinas           Petrauskas          3.6                 6.5                 
Akvilinas           Stankevicius        3.48                5.5                 
Albertas            Vasiliauskas        5.98                4                   
Albertas            Baranauskas         2.62                5                   
Albertas            Butkus              3.88                5.5                 
Albertas            Baranauskas         3.74                5                   
Albertas            Kateiva             4.38                4.5                 
Albertas            Paulauskas          3.48                5                   
Albinas             Butkus              2.78                5                   
Albinas             Butkus              4.98                5                   
Albinas             Pocius              2.6                 5                   
Albinas             Urbonas             5.26                3                   
Albinas             Kazlaukas           3.6                 5.5                 
Albinas             Baranauskas         6.56                4                   
Albinas             Butkus              2.96                6                   
Albinas             Stankevicius        2.6                 5                   
Albrechtas          Sakalauskas         7.92                4.5                 
Albrechtas          Kateiva             4.82                5.5                 
Albrechtas          Jankauskas          5.6                 4                   
Aldonas             Vasiliauskas        3.86                7                   
Aldonas             Petrauskas          7.26                4.5                 
Aldonas             Petrauskas          6.54                3                   
Aldonas             Paulauskas          4.14                5.5                 
Aldonas             Kateiva             4.26                7                   
Aleksandras         Urbonas             3.34                5                   
Aleksandras         Butkus              4.04                5.5                 
Aleksandras         Petrauskas          7.8                 3.5                 
Aleksandras         Butkus              3.94                5.5                 
Aleksandras         Baranauskas         2.38                4                   
Aleksandras         Kavaliauskas        4.76                7                   
Aleksandras         Kavaliauskas        3.34                5.5                 
Aleksas             Vasiliauskas        4.96                5                   
Aleksas             Kavaliauskas        3.58                4                   
Aleksas             Kazlaukas           4.16                5.5                 
Aleksas             Stankevicius        7.26                3.5                 
Aleksas             Stankevicius        3.62                7.5                 
Aleksas             Kavaliauskas        2.42                4.5                 
Aleksas             Paulauskas          2.86                6                   
Aleksas             Petrauskas          2.84                6                   
Aleksas             zukauskas           7.92                4                   
Aleksas             Butkus              6.06                4.5                 
Alenas              Kazlaukas           7.84                4.5                 
Alenas              Kateiva             4.9                 7                   
Alenas              Sakalauskas         5.22                3.5                 
Alenas              Jankauskas          3.52                6                   
Alenas              Butkus              4.82                5.5                 
Alenas              Kavaliauskas        3.78                5                   
Alenas              Vasiliauskas        3.98                5                   
Alenas              Paulauskas          7.32                4.5                 
Alfas               Petrauskas          3.3                 4.5                 
Alfas               Urbonas             4.2                 6                   
Alfas               Kavaliauskas        4.92                3.5                 
Alfas               Kazlaukas           2.74                4.5                 
Alfas               Kavaliauskas        3.7                 4                   
Alfas               Butkus              5.36                4                   
Alfas               zukauskas           4.46                4                   
Alfas               Kavaliauskas        2.64                5                   
Alfas               Kateiva             7.88                4.5                 
Alfonsas            zukauskas           3.5                 7                   
Alfonsas            Kazlaukas           4.38                5.5                 
Alfonsas            Kazlaukas           7.58                4.5                 
Alfonsas            Kateiva             6.08                4.5                 
Alfonsas            Petrauskas          5.64                4.5                 
Alfonsas            Urbonas             2.52                4.5                 
Alfonsas            Jankauskas          4.58                5                   
Alfonsas            Kazlaukas           2.72                5.5                 
Alfonsas            Pocius              4.66                6                   
Alfonsas            Baranauskas         3.08                4                   
Alfonsas            Paulauskas          4.32                7                   
Alfonsas            Sakalauskas         3.76                5                   
Alfonsas            Vasiliauskas        4.14                7                   
Alfonsas            Sakalauskas         4.78                6                   
Alfonsas            Baranauskas         4.86                6.5                 
Alfredas            Kateiva             7.78                4.5                 
Alfredas            Baranauskas         7.8                 4                   
Alfredas            Jankauskas          7.02                4.5                 
Alfredas            Sakalauskas         3.38                5                   
Alfredas            Urbonas             2.28                3.5                 
Alfredas            Sakalauskas         3.08                6                   
Alfredas            Vasiliauskas        2.82                5                   
Alfredas            Butkus              3.2                 7.5                 
Algimantas          zukauskas           3.1                 6                   
Algimantas          Paulauskas          3.32                8                   
Algimantas          Pocius              3.18                5                   
Algimantas          Jankauskas          8.08                4.5                 
Algimantas          Stankevicius        4.1                 5.5                 
Algimantas          Kazlaukas           2.88                5.5                 
Algimantas          zukauskas           3.7                 6.5                 
Algimantas          Jankauskas          4.58                6                   
Algirdas            Baranauskas         6.52                3                   
Algirdas            Urbonas             7.94                4                   
Algirdas            Petrauskas          4                   2                   
Algirdas            Sakalauskas         3.34                5                   
Algirdas            Butkus              7.92                4                   
Algis               Paulauskas          4.48                7                   
Algis               Pocius              4.16                6.5                 
Algis               zukauskas           3.64                4                   
Algis               Jankauskas          2.58                5                   
Algis               Butkus              3.66                6                   
Algis               Paulauskas          3.68                5.5                 
Algis               Jankauskas          4.48                5.5                 
Algis               Kateiva             2.72                6                   
Algis               Butkus              3.42                5                   
Algis               Petrauskas          6.14                4                   
Algis               Stankevicius        3.6                 4                   
Algis               Baranauskas         2.94                5.5                 
Alius               zukauskas           4.74                6                   
Alius               Kavaliauskas        2.8                 5.5                 
Alius               Baranauskas         4.74                6                   
Alius               Baranauskas         4.4                 5.5                 
Alius               Butkus              4.78                6                   
Almantas            Pocius              4.82                6                   
Almantas            Sakalauskas         2.82                6                   
Almantas            Vasiliauskas        4.28                4                   
Almantas            Kavaliauskas        2.76                6                   
Almis               Jankauskas          6.12                4.5                 
Almis               Kazlaukas           7.32                4                   
Almis               Kazlaukas           3.92                5.5                 
Almis               Paulauskas          4.86                4                   
Almis               Stankevicius        4.3                 5                   
Almis               Pocius              3.56                5.5                 
Almis               Paulauskas          3.78                7.5                 
Almis               Jankauskas          4.12                6                   
Almonas             Jankauskas          3.8                 7                   
Almonas             Kateiva             3.74                4                   
Almonas             Kavaliauskas        5.54                4                   
Almonas             Butkus              5.48                4.5                 
Almonas             Petrauskas          7.06                4                   
Almonas             Kazlaukas           3.42                6                   
Almonas             Petrauskas          3.78                7                   
Alpas               Vasiliauskas        6.98                4.5                 
Alpas               Sakalauskas         4.56                6                   
Alpas               Kazlaukas           5.96                4.5                 
Alpas               Pocius              4.62                5                   
Alpas               Jankauskas          8.02                4                   
Alpas               Kazlaukas           3.26                5                   
Alpas               Baranauskas         4.94                6                   
Alpas               Kavaliauskas        2.66                5                   
Alpas               zukauskas           6.12                4                   
Alpas               Sakalauskas         2.8                 6                   
Alpis               Pocius              6.24                4.5                 
Alpis               Jankauskas          4.16                3.5                 
Alpis               Baranauskas         4.26                4.5                 
Alpis               Baranauskas         7.94                4.5                 
Alpis               Butkus              3.54                3.5                 
Alpis               Stankevicius        2.54                4                   
Alpis               Jankauskas          3.06                5.5                 
Alpis               Pocius              3.56                5.5                 
Alpis               Pocius              4.04                5                   
Alpis               Stankevicius        3.42                5.5                 
Alvidas             Kazlaukas           4.04                5                   
Alvidas             Kazlaukas           4.56                5                   
Alvidas             Petrauskas          3.98                6                   
Alvidas             Kazlaukas           4.98                4.5                 
Alvidas             Vasiliauskas        2.22                3                   
Alvidas             Baranauskas         3                   3                   
Alvidas             Stankevicius        5.66                4.5                 
Alvidas             Stankevicius        3.54                4                   
Alvidas             Kazlaukas           3.88                5                   
Alvidas             Sakalauskas         6.76                4.5                 
Alvydas             Kazlaukas           3.56                6.5                 
Alvydas             Butkus              2.9                 6                   
Alvydas             Stankevicius        6.48                4.5                 
Alvydas             Sakalauskas         4.22                6.5                 
Alvydas             Vasiliauskas        2.6                 5                   
Ambraziejus         Kateiva             3.38                6.5                 
Ambraziejus         Kavaliauskas        2.78                5.5                 
Ambraziejus         Kazlaukas           3.72                7                   
Ambraziejus         Kateiva             4.36                6                   
Anatolijus          Urbonas             4.16                5                   
Anatolijus          Pocius              7.96                3.5                 
Anatolijus          Pocius              3.36                5                   
Anatolijus          Paulauskas          3.86                5                   
Anatolijus          Sakalauskas         6.5                 4                   
Anatolijus          Vasiliauskas        2.46                4                   
Anatolis            Kazlaukas           3.52                5                   
Anatolis            Kazlaukas           5.14                3                   
Anatolis            Paulauskas          3.14                4.5                 
Anatolis            Paulauskas          4.86                6                   
Anatolis            Baranauskas         5.28                3                   
Anatolis            Vasiliauskas        4.1                 5.5                 
Anatolis            zukauskas           3.48                5.5                 
Anatolis            Pocius              4.58                5.5                 
Anatolis            Petrauskas          3.6                 4                   
Anatolis            Pocius              4.82                4                   
Anatolis            Stankevicius        4.3                 6.5                 
Andreas             Jankauskas          2.88                5.5                 
Andreas             Jankauskas          4.16                3                   
Andreas             Urbonas             4.04                5.5                 
Andreas             Kavaliauskas        4.56                5                   
Andreas             Petrauskas          4.18                6                   
Andreas             Urbonas             6.12                4.5                 
Andreas             Urbonas             2.48                4.5                 
Andreas             Paulauskas          6.52                3                   
Andreas             Urbonas             3.34                7                   
Andreas             Urbonas             5.58                4.5                 
Andriejus           Paulauskas          3.34                5                   
Andriejus           Butkus              2.2                 3                   
Andriejus           Stankevicius        6.62                4.5                 
Andriejus           Vasiliauskas        3.94                5                   
Andriejus           Kavaliauskas        3.78                5                   
Andriejus           Urbonas             4.82                6                   
Andrius             Petrauskas          3.62                6                   
Andrius             Kavaliauskas        7.3                 4.5                 
Andrius             Sakalauskas         4.18                6                   
Andrius             Sakalauskas         3.42                5                   
Andrius             Paulauskas          2.98                6.5                 
Andrius             Paulauskas          3.94                7                   
Andrius             zukauskas           4.94                5                   
Andzejus            Kazlaukas           5.92                4.5                 
Andzejus            Butkus              3.94                8                   
Andzejus            Kazlaukas           3.48                6                   
Andzejus            Vasiliauskas        3.22                4.5                 
Andzejus            Paulauskas          4.38                7                   
Andzejus            Baranauskas         4.6                 5                   
Anicetas            Sakalauskas         4.4                 5                   
Anicetas            Kateiva             5.44                3.5                 
Anicetas            Stankevicius        4.96                5                   
Anicetas            Petrauskas          3.62                6.5                 
Anicetas            Kateiva             3.76                4                   
Anicetas            Kazlaukas           4.06                6                   
Anisimas            Jankauskas          4.5                 4.5                 
Anisimas            Urbonas             3.4                 6                   
Anisimas            Baranauskas         3.2                 7.5                 
Anisimas            Kavaliauskas        3.68                4                   
Anisimas            Kazlaukas           3.12                6.5                 
Anisimas            Jankauskas          3.44                8                   
Anisimas            Stankevicius        4.54                6                   
Anisimas            Paulauskas          3.4                 5.5                 
Anisimas            zukauskas           4.12                6                   
Anisimas            Paulauskas          3.98                5                   
Anisimas            Stankevicius        5.6                 4.5                 
Antanas             Sakalauskas         2.88                5                   
Antanas             Urbonas             3.86                5                   
Antanas             Kavaliauskas        4.2                 6.5                 
Antanas             Jankauskas          4.76                5.5                 
Antanas             Kateiva             2.94                7                   
Antanas             Baranauskas         8                   4.5                 
Antanas             Stankevicius        3.12                6.5                 
Antanas             Petrauskas          3.42                5                   
Antonas             Stankevicius        4.6                 5                   
Antonas             Paulauskas          3.38                6                   
Antonas             Paulauskas          6.18                4                   
Antonas             Petrauskas          7.24                4                   
Antonas             Sakalauskas         5.34                3                   
Antonas             Pocius              5.44                3                   
Antonas             Sakalauskas         2.6                 4.5                 
Antonas             Kavaliauskas        4.84                4                   
Antonas             Kavaliauskas        4.14                5                   
Antonas             Jankauskas          2.68                5.5                 
Antonijus           Paulauskas          4.72                6                   
Antonijus           Stankevicius        3.66                8                   
Antonijus           Kateiva             3.36                5                   
Antonijus           Kazlaukas           2.74                5.5                 
Antonis             Jankauskas          4.42                7                   
Antonis             Jankauskas          4.44                4.5                 
Antonis             Butkus              4.3                 4                   
Antonis             Jankauskas          3.36                6                   
Antonis             Butkus              3.3                 5                   
Antonis             Butkus              5.04                4.5                 
Antonis             Baranauskas         4.5                 5.5                 
Antonis             Stankevicius        3.5                 5.5                 
Antonis             Stankevicius        2.4                 4.5                 
Antonis             Paulauskas          5.24                4.5                 
Anupras             Pocius              3.06                4                   
Anupras             Butkus              7.42                4                   
Anupras             Jankauskas          6.36                4.5                 
Anupras             Kazlaukas           7.58                4.5                 
Anupras             Petrauskas          4.22                4.5                 
Anupras             Vasiliauskas        3.06                5.5                 
Anupras             zukauskas           4.08                5.5                 
Anzelmas            Baranauskas         6.08                4.5                 
Anzelmas            Vasiliauskas        2.92                6.5                 
Anzelmas            Baranauskas         4.92                3.5                 
Anzelmas            Butkus              7.46                4.5                 
Apolinaras          zukauskas           3.08                7.5                 
Apolinaras          Kavaliauskas        2.72                5                   
Apolinaras          Jankauskas          4.56                7                   
Apolinaras          Petrauskas          4.02                3.5                 
Apolinaras          Stankevicius        4.92                4                   
Apolinaras          Stankevicius        3.22                5                   
Apolonijus          Kavaliauskas        4.06                5.5                 
Apolonijus          Kazlaukas           4.8                 4.5                 
Apolonijus          Pocius              3.78                4.5                 
Apolonijus          zukauskas           7.08                3.5                 
Apolonijus          Stankevicius        4.64                3.5                 
Apolonijus          Stankevicius        7.66                4                   
Apolonijus          Paulauskas          4.6                 5.5                 
Apolonijus          Stankevicius        3.26                5                   
Aras                Jankauskas          3.96                6                   
Aras                Kavaliauskas        6.58                3                   
Aras                Stankevicius        4.2                 6.5                 
Aras                Vasiliauskas        3.34                4.5                 
Aras                Baranauskas         4.6                 7.5                 
Aras                Kazlaukas           3.78                6.5                 
Aras                Kavaliauskas        3.74                4                   
Aras                Petrauskas          2.96                6                   
Aras                Paulauskas          3.8                 4                   
Aras                zukauskas           4.24                3.5                 
Aras                Kateiva             5.08                4                   
Arijus              Urbonas             3.28                5                   
Arijus              Kateiva             3.96                5.5                 
Arijus              Kavaliauskas        4.22                6                   
Arijus              Sakalauskas         4.26                4                   
Arijus              Baranauskas         2.88                5                   
Arijus              Butkus              2.9                 5                   
Arijus              Sakalauskas         4.92                8                   
Arijus              Urbonas             4.22                6.5                 
Arimantas           Urbonas             2.8                 5.5                 
Arimantas           Kavaliauskas        6.14                4                   
Arimantas           zukauskas           2.18                4                   
Aristarchas         Kazlaukas           4.76                6.5                 
Aristarchas         Sakalauskas         3.12                6                   
Aristarchas         Petrauskas          3.18                5                   
Aristarchas         Pocius              4.28                7                   
Aristarchas         Jankauskas          3.18                7                   
Aristidas           Petrauskas          7.26                4                   
Aristidas           Jankauskas          7.36                4                   
Aristidas           zukauskas           2.62                4                   
Aristidas           Petrauskas          3.5                 6                   
Aristidas           Sakalauskas         4.28                7                   
Aristidas           Kazlaukas           5.42                4.5                 
Aristidas           Kavaliauskas        8.14                4.5                 
Aristidas           Petrauskas          3                   6                   
Arkadijus           Paulauskas          4.8                 6                   
Arkadijus           Kavaliauskas        6.7                 4                   
Arkadijus           Stankevicius        4.76                6                   
Arkadijus           Jankauskas          4.6                 5                   
Arkadijus           Butkus              4.98                5                   
Arkadijus           Urbonas             3.08                6.5                 
Arkadijus           Stankevicius        7.92                4                   
Armantas            Kazlaukas           4.98                4                   
Armantas            Sakalauskas         4.06                6                   
Armantas            Jankauskas          5.38                4                   
Armantas            Kavaliauskas        3.38                5.5                 
Armantas            Kavaliauskas        3.32                5                   
Armantas            Butkus              4.88                7.5                 
Armantas            Paulauskas          2.52                5                   
Armantas            Kavaliauskas        4.04                5                   
Armantas            Stankevicius        2.96                6                   
Arminas             Kateiva             2.96                3                   
Arminas             Kateiva             3.94                8                   
Arminas             Kazlaukas           3.08                6.5                 
Arminas             Kateiva             4.82                6.5                 
Arminas             Kazlaukas           3.52                5                   
Arminas             Kavaliauskas        3.2                 7                   
Arminas             zukauskas           4.1                 5                   
Arminas             zukauskas           4.96                7.5                 
Arnas               Butkus              3.32                5.5                 
Arnas               Vasiliauskas        3.24                5                   
Arnas               Vasiliauskas        4.4                 5                   
Arnas               zukauskas           4.62                5.5                 
Arnas               zukauskas           2.94                5.5                 
Arnas               Baranauskas         2.86                5.5                 
Arnas               zukauskas           3.1                 5                   
Arnoldas            Pocius              4.54                5.5                 
Arnoldas            Baranauskas         2.78                3.5                 
Arnoldas            Kazlaukas           3.76                4                   
Arnoldas            Vasiliauskas        4.94                6                   
Arnoldas            Urbonas             2.96                5                   
Arnoldas            Stankevicius        4.72                5.5                 
Arnoldas            Petrauskas          3                   6                   
Arnoldas            Paulauskas          2.78                5                   
Aronas              Sakalauskas         4.8                 5.5                 
Aronas              Kazlaukas           3.64                5.5                 
Aronas              Petrauskas          3.62                6                   
Aronas              zukauskas           3.84                6                   
Aronas              Kazlaukas           3.24                5                   
Aronas              Vasiliauskas        4                   5.5                 
Aronas              Paulauskas          4.94                6                   
Arsenas             Urbonas             2.54                5                   
Arsenas             Petrauskas          5.38                4                   
Arsenas             zukauskas           4.06                5.5                 
Arsenas             Stankevicius        2.58                6                   
Arsenas             Stankevicius        7.34                4                   
Arsenas             Stankevicius        3.38                8                   
Arsenas             Sakalauskas         7.9                 4                   
Arsenas             Stankevicius        4.24                6.5                 
Arsenas             Urbonas             4.02                6                   
Arsenas             Stankevicius        6.96                3                   
Arsenas             Petrauskas          7.78                4                   
Arsenas             Stankevicius        4.4                 5                   
Arsenas             Jankauskas          4.26                6.5                 
Arsenas             zukauskas           6.38                3.5                 
Arsenijus           Kazlaukas           3.9                 7                   
Arsenijus           Sakalauskas         4.54                5                   
Arsenijus           Baranauskas         6.72                4                   
Arsenijus           Vasiliauskas        2.68                4.5                 
Arsenijus           Kateiva             4.22                7                   
Arsenijus           Petrauskas          3.28                5                   
Artas               zukauskas           3.32                2                   
Artas               zukauskas           4.26                7                   
Artas               Jankauskas          4.5                 5                   
Artas               Urbonas             2.44                4.5                 
Artiomas            Kazlaukas           3.62                4                   
Artiomas            Urbonas             4.66                6                   
Artiomas            Urbonas             6.48                3.5                 
Arturas             Urbonas             4.74                6                   
Arturas             Paulauskas          4.04                5.5                 
Arunas              Paulauskas          4.38                4                   
Arunas              zukauskas           4.18                6.5                 
Arunas              zukauskas           7.94                4.5                 
Arunas              Butkus              4.9                 4.5                 
Arunas              Butkus              4.78                6.5                 
Arunas              Kavaliauskas        6.66                4                   
Arunas              Stankevicius        2.58                5                   
Arvaidas            Pocius              2.64                4                   
Arvaidas            Kateiva             3.7                 6.5                 
Arvaidas            zukauskas           4.34                4.5                 
Arvaidas            Kavaliauskas        2.74                5.5                 
Arvydas             Paulauskas          6.66                4.5                 
Astijus             Pocius              4.98                4                   
Astijus             Sakalauskas         3.6                 6                   
Astijus             Pocius              4.54                6                   
Astijus             Kateiva             4.42                4.5                 
Astijus             Paulauskas          3.84                4.5                 
Astijus             Petrauskas          6.56                4                   
Astijus             Sakalauskas         2.86                3                   
Astijus             Butkus              3.52                4                   
Astijus             Baranauskas         3.96                5.5                 
Audrius             Baranauskas         7.36                4                   
Audrius             Stankevicius        4.72                3                   
Audrius             Kazlaukas           4.74                6                   
Audrius             Kazlaukas           4.2                 6.5                 
Audrius             Butkus              4.38                6                   
Audronius           Butkus              4.96                4                   
Audronius           Urbonas             3.98                5                   
Audronius           zukauskas           3.74                6                   
Audronius           Petrauskas          6.5                 4                   
Audronius           Baranauskas         3.12                4                   
Audrys              Vasiliauskas        6.28                4                   
Audrys              Paulauskas          4.02                5                   
Audrys              Urbonas             4.8                 9                   
Audrys              Sakalauskas         3.16                8                   
Audrys              Butkus              3.22                7                   
Audrys              Urbonas             3.04                4                   
Audrys              Sakalauskas         7.54                4.5                 
Audrys              Paulauskas          7.44                4                   
Audrys              Baranauskas         3.14                7                   
Audrys              Jankauskas          3.88                5.5                 
Augis               Pocius              4.64                5.5                 
Augis               Pocius              3.94                5.5                 
Augis               Urbonas             4.94                4.5                 
Augis               zukauskas           4.58                5                   
Augis               Petrauskas          4.58                5                   
Augis               Kateiva             4.4                 7.5                 
Augustas            Stankevicius        6.16                4.5                 
Augustas            Stankevicius        3.18                5                   
